,Timestamp Feed,b,"time_interval, min"
0,2020-11-05 09:10:49,2020-11-05 09:04:03,6.766666666666667
1,2020-11-05 09:17:06,2020-11-05 09:10:49,6.283333333333333
2,2020-11-05 09:26:42,2020-11-05 09:17:06,9.6
3,2020-11-05 09:31:51,2020-11-05 09:26:42,5.15
4,2020-11-05 09:37:12,2020-11-05 09:31:51,5.35
5,2020-11-05 09:42:31,2020-11-05 09:37:12,5.316666666666666
6,2020-11-05 09:47:51,2020-11-05 09:42:31,5.333333333333333
7,2020-11-05 09:53:09,2020-11-05 09:47:51,5.3
8,2020-11-05 09:58:31,2020-11-05 09:53:09,5.366666666666666
9,2020-11-05 10:03:48,2020-11-05 09:58:31,5.283333333333333
10,2020-11-05 10:09:07,2020-11-05 10:03:48,5.316666666666666
11,2020-11-05 10:14:27,2020-11-05 10:09:07,5.333333333333333
12,2020-11-05 10:19:45,2020-11-05 10:14:27,5.3
13,2020-11-05 10:25:13,2020-11-05 10:19:45,5.466666666666667
14,2020-11-05 10:34:46,2020-11-05 10:25:13,9.55
15,2020-11-05 10:39:55,2020-11-05 10:34:46,5.15
16,2020-11-05 10:45:12,2020-11-05 10:39:55,5.283333333333333
17,2020-11-05 10:50:33,2020-11-05 10:45:12,5.35
18,2020-11-05 10:55:52,2020-11-05 10:50:33,5.316666666666666
19,2020-11-05 11:01:12,2020-11-05 10:55:52,5.333333333333333
20,2020-11-05 11:07:25,2020-11-05 11:01:12,6.216666666666667
21,2020-11-05 11:13:56,2020-11-05 11:07:25,6.516666666666667
22,2020-11-05 11:19:45,2020-11-05 11:13:56,5.816666666666666
23,2020-11-05 11:24:51,2020-11-05 11:19:45,5.1
24,2020-11-05 11:30:06,2020-11-05 11:24:51,5.25
25,2020-11-05 11:35:17,2020-11-05 11:30:06,5.183333333333334
26,2020-11-05 11:40:39,2020-11-05 11:35:17,5.366666666666666
27,2020-11-05 11:45:56,2020-11-05 11:40:39,5.283333333333333
28,2020-11-05 11:51:17,2020-11-05 11:45:56,5.35
29,2020-11-05 11:56:29,2020-11-05 11:51:17,5.2
30,2020-11-05 12:01:45,2020-11-05 11:56:29,5.266666666666667
31,2020-11-05 12:07:51,2020-11-05 12:01:45,6.1
32,2020-11-05 12:14:21,2020-11-05 12:07:51,6.5
33,2020-11-05 12:20:13,2020-11-05 12:14:21,5.866666666666666
34,2020-11-05 12:25:16,2020-11-05 12:20:13,5.05
35,2020-11-05 12:30:34,2020-11-05 12:25:16,5.3
36,2020-11-05 12:35:50,2020-11-05 12:30:34,5.266666666666667
37,2020-11-05 12:41:07,2020-11-05 12:35:50,5.283333333333333
38,2020-11-05 12:46:24,2020-11-05 12:41:07,5.283333333333333
39,2020-11-05 12:51:34,2020-11-05 12:46:24,5.166666666666667
40,2020-11-05 12:56:57,2020-11-05 12:51:34,5.383333333333334
41,2020-11-05 13:02:12,2020-11-05 12:56:57,5.25
42,2020-11-05 13:07:36,2020-11-05 13:02:12,5.4
43,2020-11-05 13:14:11,2020-11-05 13:07:36,6.583333333333333
44,2020-11-05 13:19:56,2020-11-05 13:14:11,5.75
45,2020-11-05 13:25:06,2020-11-05 13:19:56,5.166666666666667
46,2020-11-05 13:30:24,2020-11-05 13:25:06,5.3
47,2020-11-05 13:35:39,2020-11-05 13:30:24,5.25
48,2020-11-05 13:40:57,2020-11-05 13:35:39,5.3
49,2020-11-05 13:46:17,2020-11-05 13:40:57,5.333333333333333
50,2020-11-05 13:51:32,2020-11-05 13:46:17,5.25
51,2020-11-05 13:56:43,2020-11-05 13:51:32,5.183333333333334
52,2020-11-05 14:02:06,2020-11-05 13:56:43,5.383333333333334
53,2020-11-05 14:07:38,2020-11-05 14:02:06,5.533333333333333
54,2020-11-05 14:14:00,2020-11-05 14:07:38,6.366666666666666
55,2020-11-05 14:19:49,2020-11-05 14:14:00,5.816666666666666
56,2020-11-05 14:25:04,2020-11-05 14:19:49,5.25
57,2020-11-05 14:30:18,2020-11-05 14:25:04,5.233333333333333
58,2020-11-05 14:35:30,2020-11-05 14:30:18,5.2
59,2020-11-05 14:40:45,2020-11-05 14:35:30,5.25
60,2020-11-05 14:46:03,2020-11-05 14:40:45,5.3
61,2020-11-05 14:51:16,2020-11-05 14:46:03,5.216666666666667
62,2020-11-05 14:56:32,2020-11-05 14:51:16,5.266666666666667
63,2020-11-05 15:01:55,2020-11-05 14:56:32,5.383333333333334
64,2020-11-05 15:07:31,2020-11-05 15:01:55,5.6
65,2020-11-05 15:14:05,2020-11-05 15:07:31,6.566666666666666
66,2020-11-05 15:19:50,2020-11-05 15:14:05,5.75
67,2020-11-05 15:24:54,2020-11-05 15:19:50,5.066666666666666
68,2020-11-05 15:30:06,2020-11-05 15:24:54,5.2
69,2020-11-05 15:35:22,2020-11-05 15:30:06,5.266666666666667
70,2020-11-05 15:40:39,2020-11-05 15:35:22,5.283333333333333
71,2020-11-05 15:45:52,2020-11-05 15:40:39,5.216666666666667
72,2020-11-05 15:51:06,2020-11-05 15:45:52,5.233333333333333
73,2020-11-05 15:56:21,2020-11-05 15:51:06,5.25
74,2020-11-05 16:01:37,2020-11-05 15:56:21,5.266666666666667
75,2020-11-05 16:07:45,2020-11-05 16:01:37,6.133333333333334
76,2020-11-05 16:14:16,2020-11-05 16:07:45,6.516666666666667
77,2020-11-05 16:20:04,2020-11-05 16:14:16,5.8
78,2020-11-05 16:25:18,2020-11-05 16:20:04,5.233333333333333
79,2020-11-05 16:30:30,2020-11-05 16:25:18,5.2
80,2020-11-05 16:35:47,2020-11-05 16:30:30,5.283333333333333
81,2020-11-05 16:40:57,2020-11-05 16:35:47,5.166666666666667
82,2020-11-05 16:46:20,2020-11-05 16:40:57,5.383333333333334
83,2020-11-05 16:51:32,2020-11-05 16:46:20,5.2
84,2020-11-05 16:56:46,2020-11-05 16:51:32,5.233333333333333
85,2020-11-05 17:02:01,2020-11-05 16:56:46,5.25
86,2020-11-05 17:07:25,2020-11-05 17:02:01,5.4
87,2020-11-05 17:13:59,2020-11-05 17:07:25,6.566666666666666
88,2020-11-05 17:19:45,2020-11-05 17:13:59,5.766666666666667
89,2020-11-05 17:24:49,2020-11-05 17:19:45,5.066666666666666
90,2020-11-05 17:30:10,2020-11-05 17:24:49,5.35
91,2020-11-05 17:35:35,2020-11-05 17:30:10,5.416666666666667
